logic	n. 逻辑， 推理， 逻辑学
cheek	n. 面颊，脸蛋
dust	n. 尘土，灰尘
track	n. 足迹 v. 追踪，〔循着踪迹、气味等〕找寻
tiny	adj. 微小的
era	n. 时代， 年代， 纪元
cozy	adj. 舒适的
slave	n. 奴隶
tumor	n. 瘤
hit	n. (唱片、电影或戏剧的) 成功；命中，击中
via	prep. 经过， 通过
item	n. 〔尤指清单上、一群或一组事物中的〕一项，一件，一条
alter	vt. 改变， 变更， 变动
lap	v. 舔； 拍打 n. 膝部；一圈，一段
avail	v. 有益, 有帮助
bogus	adj. 假冒的
hire	v. 租借 n. 租用，雇用
task	n. 任务，工作
bow	n. 鞠躬；弓；蝴蝶结
pop	n. 流行音乐，流行歌曲
surf	v. 冲浪
amaze	vt. 使惊奇， 使惊愕
gum	n. 口香糖； 树胶
album	n. 粘贴簿，集邮簿，册
clue	n. 线索， 暗示， 提示
grief	n. 悲伤
exile	n. 流放，放逐
trait	n. 性格
snack	n. 零食，小吃
equal	adj. 相等的，平等的
curb	v. 控制 n. 控制
forum	n. 论坛
panic	v. 恐慌， 惊慌失措 n. 恐慌，惊慌，慌乱
save	v. 节省
solid	adj. 固体的 n. 固体
ban	vt. 取缔，查禁；禁止 n. 禁止， 禁令
bride	n. 新娘
imply	vt. 暗示， 意指
gym	n. 体育馆； 健身房
chef	n. 厨师
react	vi. 反应， 作出反应
needy	adj. 贫穷的
cater	v. 迎合
favor	v. 偏好, 较喜欢
menu	n. 菜单
flow	n. 流动 v. 流动
picky	adj. 挑剔的
steal	v. 偷窃
despite	prep. 尽管，虽然，任凭
gap	n. 缺口； 间隔； 差距； 缺陷
bless	v. 保佑，祝福
long	v. 渴望，极想念
tent	n. 帐篷
block	n. 街区 v. 堵塞，拦阻
grid	n. 输电网
view	v. 看待
blame	v. 责备，把…归咎于
shock	v. 感到震惊
chat	v. 聊天
debt	n. 债， 债务， 欠债
chap	n. 小伙子， 男人， 家伙
essay	n. 短文， 散文， 小品文
due	adj. 预期的；应给的
ring	n. 拳击台
guilt	n. 有罪，犯罪行为
hub	n. 中心
hat	n. 帽子（一般指有边的）
beach	n. 海滩，湖滩，河滩
roast	v. 烤，炙，烘 adj. 烤过的， 烘过的 n. 烤肉
put	v. 放，摆；使处于
lake	n. 湖
nor	conj. 既不…也不…；也不
bench	n. 长凳，条凳
rug	n. 小地毯；毛毯
draw	v. 画，划
net	n. 网，网状物；互联网
water	n. 水 v. 使湿，灌溉
lift	v. 提起，提高 n. 电梯
midst	n. 中部，中间，当中
tour	n. 旅行，旅游 v. 旅游，游历
get	v. 获得，得到；到达；变成，成为
climb	v. 攀登，爬
cow	n. 母牛，奶牛；母兽
fun	n. 乐趣，娱乐；玩笑
worth	adj. 值…的 n. 价值
brood	n. 同窝幼鸟 v. 孵（蛋）
tip	v. 轻击；给小费
naval	adj. 海军的，军舰的
hut	n. 小屋， 棚屋
sting	v. 刺，蜇，叮 n. 刺伤处，蜇伤处
nest	v. 筑巢 n. 巢，窝，穴
more	adj. 更多的 adv. 更
apple	n. 苹果
idiom	n. 习语，成语
on	prep. 在…上
stack	n. 堆，垛 vt. 堆积， 堆放于
pump	n. 泵 vt. 抽， 泵送， 打气
dozen	n. 一打，十二个
jar	v. 感到不快； 震动， 摇动 n. 罐子，坛子，广口瓶
stair	n. 楼梯
hare	n. 野兔
brook	n. 小河，溪流
fee	n. 费； 酬金， 赏金
steel	n. 钢，钢铁
money	n. 货币；金钱；财富
meet	v. 遇见
juice	n. （水果等）汁，液
man	n. 男人；人；人类
mean	v. 作…解释；意指
call	v. 把…叫做；叫，喊
bike	n. 自行车 v. 骑自行车
canoe	n. 独木舟，皮艇，划子
lorry	n. 运货汽车， 卡车
paste	n. 糊，糨糊 vt. 粘， 贴
wax	n. 蜡，蜂蜡 vt. 给…上蜡
kid	v. 戏弄， 开玩笑 n. 小孩；年轻人
rid	vt. 使摆脱， 解除…的负担， 从…中清除
dew	n. 露，露水
cold	adj. 冷的；冷淡的 n. 冷
frank	adj. 坦白的， 直率的
bean	n. 豆， 蚕豆
price	n. 价格，价钱；代价
worst	adj. 最坏的 adv. 最坏地
moan	n. 呻吟声 v. 呻吟
learn	v. 学，学习
hawk	n. 鹰，隼
aural	adj. 耳的，听觉的
lung	n. 肺脏，肺
home	n. 家；家乡 adj. 家庭的
clock	n. 钟，仪表
flag	n. 旗，旗帜
person	n. 人；人身；本人
cliff	n. 悬崖， 峭壁
hook	n. 钩，挂钩 v. 钩住
leaf	n. 叶，叶子
month	n. 月，月份
route	n. 路线， 路程
error	n. 错误， 谬误， 差错
amuse	vt. 逗…乐， 给…娱乐
come	v. 来，来到；出现
berry	n. 浆果（如草莓等）
type	n. 型，类型 v. 打字
pear	n. 梨子，梨树
my	det. 我的
new	adj. 新的；新近出现的
van	n. 大篷车， 运货车
early	adv. 早 adj. 早的，早期的
play	v. 玩，游戏；演奏
liner	n. 班船，班机
wit	n. 风趣； 妙语； 智力， 才智， 智能
past	adj. 过去的 n. 过去
group	n. 小组，群 v. 聚集
frog	n. 蛙
music	n. 音乐，乐曲；乐谱
heart	n. 心，内心；勇气
burn	v. 烧，燃烧 n. 烧伤
can	n. 罐头，听头；容器
clean	adj. 清洁的；纯洁的
rain	n. 雨，雨水 v. 下雨
eighth	num. 第八 n. 八分之一
toe	n. 脚趾；足尖
rag	n. 破布， 碎布； 破旧衣服
ago	adv. 以前
poem	n. 诗，韵文，诗体文
happy	adj. 快乐的；幸福的
glide	v. 滑动 n. 滑行
pen	n. 钢笔，自来水笔
stove	n. 炉， 火炉， 电炉
knee	n. 膝，膝盖，膝关节
mail	n. 邮件 v. 邮寄
flesh	n. 肉， 肌肉， 肉体
inch	n. 英寸
as	conj. 当…的时候
coin	n. 硬币 v. 铸造（硬币）
gasp	v. 气喘，喘息
smart	adj. 聪颖的，机灵的
now	adv. 现在；立刻
mile	n. 英里
glove	n. 手套
lag	vi. 走得慢 n. 落后
guess	v. 猜测，推测 n. 猜测，推测
bud	n. 芽，萌芽；蓓蕾
tap	n. 轻叩 v. 轻叩
be	v. 是；在
pat	adj. 非常恰当的， 适时的 n. 轻拍
dose	n. 剂量， 用量， 一剂
groan	v. 哼，呻吟 n. 呻吟
meat	n. 肉
arm	n. 臂；臂状物；武器
lip	n. 嘴唇
trail	n. 痕迹，小径 vt. 跟踪， 追踪
her	pron. （宾格）她 determiner.. 她的
cough	v. 咳，咳嗽 n. 咳嗽
it	pron. 这，那，它
mug	n. 大杯 vt. 对…行凶抢劫
goat	n. 山羊
city	n. 城市，都市
pull	v. 拉，拖 n. 拉，拉力
mad	adj. 发疯的；恼火的
boss	n. 老板，上司 v. 指挥
human	adj. 人的，人类的 n. 人
muddy	adj. 多泥的，泥泞的
faint	adj. 不清楚的，模糊的 v. 晕倒，昏厥 n. 昏厥
bed	n. 床，床位；圃；河床
wrap	vt. 裹，包，捆 n. 披肩
waken	v. 醒来， 弄醒
easy	adj. 容易的；安逸的
