access	n. 接近；通道，入口；接近的机会 vt. 存取
strategy	n. 战略， 策略
paradox	n. 悖论；自相矛盾
primary	adj. 首要的， 主要的； 基本的； 最初的， 初级的
grab	v. 抓取，攫取；赶紧做；抓住；抓，夺 n. 抓， 夺
crucial	adj. 至关重要的， 决定性的
flaw	n. 缺点；错误
obstacle	n. 障碍， 障碍物， 妨碍
gambling	n. 赌博
theory	n. 理论， 原理； 学说； 意见， 看法
download	v. 下载
smooth	adj. 光滑的
vehicle	n. 车辆， 机动车； 传播媒介， 工具， 手段
plague	v. 使困扰
shade	n. 荫；遮光物 v. 荫蔽
voluntary	adj. 自愿的， 志愿的
opposite	adj. 对面的 n. 对立物
content	adj. 满意的，满足的
unrest	n. 不安定，动荡
startle	v. 吃惊
fiction	n. 小说，虚构的文学作品
vitally	adv. 极其重要地
masculine	adj. 男性的
riotous	adj. 狂暴的
similar	adj. 相似的， 类似的
approve	vt. 赞成， 称许； 批准
exhaust	vt. 使筋疲力尽；用尽；详尽论述 n. 排气装置； 废气
grocery	n. 食品杂货店
praise	n. 赞扬，赞美 v. 赞扬
harmful	adj. 有害的
vital	adj. 致命的， 生死攸关的； 极其重要的； 生命的， 有生命力的
fetch	v. 拿来；请来，接去
clumsy	adj. 笨拙的， 愚笨的； 粗陋的； 不得体的
emit	vt. 散发； 发射； 发表
triumph	vi. 成功 n. 凯旋，胜利
gallery	n. 画廊， 美术馆； 楼座； 旁听席； 回廊， 走廊
obtain	v. 获得； 通用， 流行； 存在
desert	n. 沙漠 v. 离弃；擅离
aviate	v. 驾驶飞机
entitle	v. 使具有权利，使具有资格
colleague	n. 同事， 同僚
column	n. 柱， 支柱， 圆柱； 纵队； 栏， 专栏
issue	v. 发行， 分发， 发出 n. 问题；发行，分发
approach	vt. 向…靠近 n. 靠近
regular	adj. 有规律的，经常的
hinder	v. 阻碍
tide	n. 潮， 潮汐； 潮流， 趋势
matter	n. 事情；物质 v. 要紧
passively	adv. 消极地
